dudy.maulana,sampe sekarang belom kesampean beliin orang tua kambing min buat di kurbanin. seumur hidup orang tua belom bisa berkurban. anak nya belom bisa menuhin ampe sekarang. minta doa nya ya min biar di kasih sehat dan rejeki yg berkah biar bisa beli  orang tua kambing 🙏🙏
surian1210,pengen liburan ke mikey holiday bareng bestie bocorrrrr hahaha
skaenndgn,pngen good looking ajah si tpi sadr dompet gw:(
2unt5l,aku pengen nyobainnnnn yupi all variant hahaha i like yupi so much soalnya
rizanami_octa,belum bisa nyenengin istri min hahaha bismillah 🙏
rjnidaa,"mau beli laptop baru, biar egk goyang-goyang kabel lagi kalau mau nyalain. atau setidaknua beli harddisk biar data nya bisa ke backup... kalau fd cuman bisa beberapa gb teh @ecamaresha doa di subuh ini... @selli.sintani @ariefmuhammad @ikoy2an"
rahma_nina2,belum pernah pegang hp iphone sama sekali aku aku mah :-) dari smp hp selalu android.
uhuuiylah,"gak tau sih ini dianggep apa gak, tapi klo boleh sharing, ""dari dulu tuh pengen banget punya kamera, apa aja deh yang penting bisa buat foto sama kerja, sering banget pijam atau sewa kamera buat job foto, namun uangnya gak ke kumpul karena nutupin kebutuhan lainnya."" terlepas masuk atau tidak yang penting aku udah sharing (senang berbagi walaupun hanya sekedar cerita) 👏🏻"
adisetiadii21,belum pernah ganti ban motor😂
zayn17_zyan31,"mau adakan workshop merajut gratis min @ikoy2an . untuk remaja putri dan ibu² di kampung sya. awal² ajarin merajut tali masker dan botol hand sanitizer dulu. semoga di support untuk beli bahan dan alat² seperti benang rajut, hookpen dll @ariefmuhammad @ecamaresha"
loriza_izonk,"pengen punya kulkas min.. kulkasny buat nyetok bahan makanan, ikan dll,selama ini jrg nyetok ikan fresh karena ga punya kulkas"
tiaraagustin1255,"gua cuman pengen powerbank buat sekolah 😢batre ku drop bgt , mau beli gda uang 😢"
andhie_odank,pengen beli smart tv 32in  kak @ariefmuhammad @ecamaresha @ikoy2an
ohhdini,"happy bgt ikoy2an gini , but takut dibilang ga bersyukur padahal keadaan emang lg sulit , karna blm pernah punya anak dan posisi skrg lg hamil anak pertama sebentar lg launching mungkin barengan sama baimwati @ariefmuhammad , belum pernah ngerasain blanja kebutuhan anak new born tanpa liat tag harga or nanya harga even belinya di store atau pasar atau shoppe haul  #ngidambelanja, semoga rejeki bumil buat dede baby launcing dikabulin ya nak , aamin 😇🙏🏻"
uusluarbiasa_,"pengen benerin hp min @ikoy2an hp nya udah error gerak gerak sendiri layar nya😢,karena pandemi kaga mungkin beli hp baru😢"
itsmelala89,"pengen happy happy dan jalan2 bareng pacar seharian aja ,,karna kmi ldr 🤣"
wayan_wahyuuu,"tuhan bisakah kau turunkan pc speak gaming ke pada ku , aku bosan mengedit video di laptop kentang yang selalu nge lag , aku capek mengedit video di hp"
fjb_berkahserang,"bismillah sedikit cerita belum sempat lahiran udah keguguran, semoga rezeki saya ingin syukuran untuk anak yang belum lahir karna saya pekerja bias ada dan tiada nya, siapa tau rezeki😇🙏@ikoy2an  @ecamaresha"
nonawinona12,belum pernah beli iphone 😂 kemarin ngumpul sma temen trus foto2 hp nya iphone semua trus pada ngirim lewat yg namanya air drop lah diriku cuma punya android turunan dari kakak lagi cuma bisa bengong dan nyudut pelan2 wkwk tp gpp hp ini lah yg banyak berjasa buat aku ❤
alfito._01,gausah muluk muluk buat bayar shoope pay later kak yang terakhir tgl 25 ini bismillah🙏 @ikoy2an @ecamaresha
muhiqbalder,"yah udah telat apa belum ya? belum pernah pake hp iphone dari dulu, selalu pake hp turunan dari kk terus 😂"
icaihh,belum pernah nyoba ke trans studio bandung :(
meilindathenna,"belom pernah dan pengen ke taman safari sama anak, apalagi anakku happy liat vlog baim main ke zoo ituu🙏🏻😇🥰"
devitavnesa,"belum pernah ikut les, tp pengen bgt les, cmn kasian ortu huhu. nilai anjlok semenjak sma apalagi masih daring dan blm normal kaya gini ptmtnya"
devitavnesa,"pengen les bgt, nilai jeblok semenjak sma + daring gini huhuhu"
indra_photography20,pgn nyobain lensa baru... ah...tp ga mungkin terlalu mahal.🤭. tp udah telat yah?? baru isi paket data. ya udah mau kasih semangat aja buat org2 baik semoga lebih happy aja❤️❤️❤️...
tang_bin,belum pernah punya smart band / smart watch. pengen juga ngukur jauhnya klo jalan kaki pagi2. bismillah moga ada rezekinya
rizkyyuzar777,pengen punya hp bru sii buat sekolah soal nya ini udh g support google meet aja ga bisa
yuli_ptn,"semoga ini rezeqiku...aamiin.
pengin dpt surprise dr allah melalui @ecamaresha"
radityapuutra,belum perah cobain jepret foto make kamera sendiri :(
delfrianiherza,"pen ngemall kak, asli sama pen jajan2 di mall aja udh happy"
alexander_csph,mau beli ban buat mobil min soalnya benjol 😂
rully_handayani,pengen punya masker merk agal mahalan kaya kos**sk apa s**si gt min 😢😢
trisnogo,hp android yang bagus soalnya hp ku ini sering ngeleg ramnya 2gb buat daring anak 😢
bukanrivki,spam untuk kuota by.u 🙌
alfianimld_,coba dong bikin gue happy sekali aja gapapa wkwk
ardinanst,belum pernah menang ikoy2 hahaha
riri_fadap,makan diresto super mevvah
vinialf,belum punya tabungan buat terapi anak speecch delay
wisnu.adjiwibowo,"smart wheel dunk, buat anak saya.."
mustikaara,belum pernah nyobain acihuy akang plisss 😢.. setiap liat orang makan cilok cireng dan kawan kawannya huhu sad pingin bangett
